Phone_Details,Phone_price
Apple iPhone 11 (White  64 GB),₹64900
Apple iPhone 11 (Black  128 GB),₹69900
Apple iPhone 11 (White  128 GB),₹69900
Apple iPhone 11 (Purple  64 GB),₹64900
Apple iPhone 11 (Black  64 GB),₹64900
Apple iPhone 11 (Red  128 GB),₹69900
Apple iPhone 11 (Red  64 GB),₹64900
Apple iPhone 11 (Green  64 GB),₹64900
Apple iPhone 11 (Purple  128 GB),₹69900
Apple iPhone 11 (Green  128 GB),₹69900
Apple iPhone 11 (White  256 GB),₹79900
Apple iPhone 11 (Yellow  64 GB),₹64900
Apple iPhone 11 (Yellow  256 GB),₹79900
Apple iPhone 11 (Green  256 GB),₹79900
Apple iPhone 11 (Black  256 GB),₹79900
Apple iPhone 11 (Purple  256 GB),₹79900
Apple iPhone 11 (Red  256 GB),₹79900
Apple iPhone 11 (Yellow  128 GB),₹69900
Apple iPhone 11 Pro (Gold  64 GB),₹99900
Apple iPhone 11 Pro (Midnight Green  64 GB),₹99900
Apple iPhone 11 Pro (Silver  64 GB),₹99900
Apple iPhone 11 Pro (Space Grey  64 GB),₹99900
Apple iPhone 11 Pro Max (Midnight Green  256 GB),₹123900
Apple iPhone 11 Pro Max (Midnight Green  64 GB),₹109900
